Treatment,Hive,Mites1,Bees1,Spores1,Mites2,Bees2,Spores2,Mites3,Bees3,Spores3,Mites4,Bees4,Spores4,Mites5,Bees5,Spores5
C,1,0,201,1,5,175,2,0,256,18,0,236,35,,,
C,2,0,204,2,5,240,0,1,259,12,0,276,12,0,247,8
C,3,2,205,3,0,186,1,0,236,10,1,209,1,4,245,3
C,4,1,171,0,1,214,15,1,228,10,0,216,6,2,268,2
C,5,0,222,3,0,209,7,0,223,33,2,192,34,2,266,0
C,6,7,253,0,3,235,19,1,265,5,0,208,2,1,242,0
C,7,7,212,5,31,253,14,1,254,3,0,194,33,2,260,0
C,8,1,219,3,2,246,8,0,249,19,0,216,16,2,286,0
C,9,1,229,4,0,218,0,0,206,8,0,213,47,0,289,0
C,10,0,185,4,0,209,6,0,223,5,0,200,36,0,228,16
C,11,0,190,16,1,206,0,1,257,13,0,224,47,0,188,21
C,12,0,197,0,1,284,2,0,207,1,0,223,24,0,247,20
C,13,0,182,2,0,173,1,1,219,13,0,211,13,0,234,17
C,14,0,193,0,1,228,4,1,256,60,0,210,0,1,241,3
C,15,1,216,15,1,179,0,0,226,33,0,228,14,0,236,12
C,16,0,197,0,4,202,0,0,227,5,0,229,49,0,242,5
C,17,5,313,0,4,156,0,1,208,20,1,160,27,,,
C,18,3,213,6,3,225,14,0,260,4,0,196,6,0,254,10
C,19,10,252,8,4,240,3,1,257,4,0,187,29,,,
C,20,1,257,9,2,258,1,0,264,1,0,232,2,0,217,8
C,21,0,218,1,4,227,0,0,226,0,0,238,5,1,218,1
C,22,0,224,0,0,207,0,0,192,18,0,221,88,0,186,3
C,23,0,205,2,2,206,3,1,268,3,0,265,1,1,201,1
C,24,1,102,11,0,177,13,,,,2,260,11,2,212,14
C,25,0,173,0,3,185,1,0,190,23,0,247,2,0,208,12
C,26,1,241,4,2,228,2,2,172,8,0,235,2,0,223,0
C,27,1,248,0,2,217,2,0,257,8,0,244,8,0,226,0
C,28,0,213,1,0,211,3,0,241,13,0,245,8,0,206,2
C,29,6,245,5,8,179,4,3,221,2,0,225,0,1,196,4
C,30,0,258,0,1,200,0,0,229,14,0,230,13,0,190,0
F,1,2,204,0,4,186,15,0,168,5,0,194,52,0,242,15
F,2,2,182,2,5,221,0,0,150,0,1,225,47,0,235,19
F,3,1,244,3,0,184,2,0,186,0,0,308,31,0,246,11
F,4,0,224,0,0,207,6,0,172,26,1,223,58,2,237,26
F,5,1,219,0,1,190,14,0,189,1,0,253,14,0,253,5
F,6,9,221,3,6,191,12,2,225,0,0,226,39,0,181,191
F,7,0,227,6,1,206,12,0,214,9,0,203,12,3,221,5
F,8,4,253,1,1,233,6,1,228,3,0,249,46,1,255,13
F,9,0,127,0,1,184,113,0,205,17,0,187,39,0,233,8
F,10,0,275,0,11,174,0,,,,0,207,39,1,273,5
F,11,0,228,0,0,200,11,0,149,11,1,231,30,0,230,10
F,12,0,207,8,0,187,101,,,,0,228,30,1,235,8
F,13,2,246,9,1,191,1,0,208,0,0,177,106,0,218,5
F,14,1,186,4,0,216,0,0,182,10,0,188,36,0,227,0
F,15,0,237,2,0,213,0,0,168,16,0,212,24,0,262,15
F,16,0,251,16,0,202,43,0,190,16,0,245,79,0,239,2
F,17,0,203,5,1,196,0,0,243,4,0,242,42,1,196,37
F,18,0,215,0,0,139,1,0,161,22,0,257,15,0,239,8
F,19,0,180,0,5,211,12,0,172,10,0,258,73,0,216,20
F,20,0,185,0,0,159,2,1,185,9,0,208,34,0,259,4
F,21,1,244,7,1,196,2,0,211,0,0,215,53,0,223,0
F,22,5,256,0,0,213,16,1,221,2,0,225,16,0,245,0
F,23,8,239,0,2,211,12,1,212,3,0,231,24,0,360,5
F,24,7,221,4,3,221,13,1,221,10,0,205,37,0,348,7
F,25,0,194,0,0,178,1,0,196,2,0,216,35,1,343,2
