Hive,Time,Treatment,SporesRaw,DeepBees,DeepBrood,MediumBees,MediumBrood,Bees,Brood,Spores0,Spores1,Spores2,Spores4,Bees4,Brood4,Prev
1,0,control,1,61,21,21,,37.535,10.5,1,11,0,1,96.81,43.21,1
2,0,control,2,37,14,20,,25.2,7,2,8,12,15,65.285,30.365,1
3,0,control,2,44,13,44,,36.74,6.5,2,25,9,13,69.13,24.505,1
4,0,control,13,65,25,2,,33.17,12.5,13,30,0,1,35.575,17.025,1
5,0,control,3,53,6,23,,34.205,3,3,34,13,4,72.795,32.36,1
6,0,control,0,76,8,57,,57.095,4,0,4,4,1,64.595,31.365,0
7,0,control,8,33,15,14,,21.19,7.5,8,61,27,27,56.115,23.875,1
8,0,control,6,46,31,2,,23.67,15.5,6,14,6,0,91.54,50.775,1
9,0,control,7,50,14,20,,31.7,7,7,82,8,9,87.16,38.36,1
10,0,control,6,22,3,45,,26.075,1.5,6,26,9,26,53.145,20.69,1
11,0,F1,0,33,6,24,,24.54,3,0,5,1,3,51.43,24.86,0
12,0,F1,29,23,3,29,,21.215,1.5,29,15,11,5,46.44,22.735,1
13,0,F1,1,41,14,68,,43.28,7,1,5,1,17,74.485,27.535,1
14,0,F1,11,34,13,14,,21.69,6.5,11,16,0,18,77.5,35.375,1
15,0,F1,0,43,,44,10,36.24,,0,20,0,2,65.665,27.915,0
16,0,F1,37,31,8,17,,21.195,4,37,47,19,47,33.785,9.035,1
17,0,F1,22,19,23,14,,14.19,11.5,22,104,155,,,,1
18,0,F1,9,37,21,8,,21.18,10.5,9,8,0,7,64.12,35.7,1
19,0,F1,10,73,4,1,,36.835,2,10,49,3,19,92,35.87,1
20,0,F1,6,33,7,30,,26.55,3.5,6,16,25,,,,1
21,0,N1,7,40,15,14,,24.69,7.5,7,38,2,2,70.955,37.245,1
22,0,N1,0,64,16,6,,34.01,8,0,4,0,1,45.77,21.69,0
23,0,N1,36,52,7,7,,28.345,3.5,36,87,7,2,56.95,26.54,1
24,0,N1,4,64,22,8,,34.68,11,4,21,0,0,60.62,31.03,1
25,0,N1,1,37,21,25,,26.875,10.5,1,27,0,0,54.115,25.2,1
26,0,N1,4,32,14,24,,24.04,7,4,21,3,3,62.615,32.72,1
27,0,N1,2,32,7,69,,39.115,3.5,2,19,1,0,62.31,20.525,1
28,0,N1,10,27,18,16,,18.86,9,10,40,31,13,,,1
29,0,N1,7,61,8,5,,32.175,4,7,102,5,7,48.42,31.68,1
30,0,N1,12,34,5,,,,2.5,12,63,0,6,26.37,14,1
31,0,F2,44,34,16,16,,22.36,8,44,36,2,30,61.31,21.89,1
32,0,F2,44,36,,64,13,39.44,,44,44,5,14,34.27,20.42,1
33,0,F2,20,41,29,16,,25.86,14.5,20,6,0,1,48.76,26.035,1
34,0,F2,9,49,20,,,,10,9,0,0,23,75.94,37.06,1
35,0,F2,14,55,9,23,,35.205,4.5,14,3,0,4,81.66,35.04,1
36,0,F2,3,42,5,40,,34.4,2.5,3,5,6,4,69.13,29.845,1
37,0,F2,0,74,23,54,,55.09,11.5,0,1,0,0,116.86,40.17,0
