Treatment,Longevity,Censor
Control,2,0
Control,2,0
Control,2,0
Control,2,0
Control,2,0
Control,2,0
Control,2,0
Control,2,0
Control,2,0
Control,2,0
Control,2,0
Control,2,0
Control,2,0
Control,2,0
Control,2,0
Control,2,0
Control,2,0
Control,2,0
Control,2,0
Control,2,0
Control,2,0
Control,2,0
Control,2,0
Control,2,0
Control,2,0
Control,2,0
Control,2,0
Control,2,0
Control,2,0
Control,2,0
Control,2,0
Control,2,0
Control,4,0
Control,4,0
Control,4,0
Control,4,0
Control,4,0
Control,4,0
Control,4,0
Control,4,0
Control,4,0
Control,4,0
Control,4,0
Control,4,0
Control,4,0
Control,4,0
Control,4,0
Control,4,0
Control,4,0
Control,4,0
Control,4,0
Control,4,0
Control,4,0
Control,4,0
Control,4,0
Control,4,0
Control,4,0
Control,4,0
Control,4,0
Control,6,0
Control,6,0
Control,6,0
Control,6,0
Control,6,0
Control,6,0
Control,6,0
Control,6,0
Control,6,0
Control,6,0
Control,6,0
Control,6,0
Control,6,0
Control,6,0
Control,6,0
Control,6,0
Control,8,0
Control,8,0
Control,8,0
Control,8,0
Control,8,0
Control,8,0
Control,8,0
Control,8,0
Control,8,0
Control,8,0
Control,8,0
Control,8,0
Control,8,0
Control,8,0
Control,8,0
Control,8,0
Control,8,0
Control,8,0
Control,8,0
Control,8,0
Control,8,0
Control,10,0
Control,10,0
Control,10,0
Control,10,0
Control,10,0
Control,10,0
Control,10,0
Control,10,0
Control,10,0
Control,10,0
Control,10,0
Control,10,0
Control,10,0
Control,10,0
Control,10,0
Control,10,0
Control,10,0
Control,10,0
Control,10,0
Control,10,0
Control,10,0
Control,12,0
Control,12,0
Control,12,0
Control,12,0
Control,12,0
Control,12,0
Control,12,0
Control,12,0
Control,12,0
Control,12,0
Control,12,0
Control,12,0
Control,12,0
Control,12,0
Control,12,0
Control,12,0
Control,12,0
Control,12,0
Control,12,0
Control,12,0
Control,12,0
Control,12,0
Control,12,0
Control,14,0
Control,14,0
Control,14,0
Control,14,0
Control,14,0
Control,14,0
Control,14,0
Control,14,0
Control,14,0
Control,14,0
Control,14,0
Control,14,0
Control,14,0
Control,16,0
Control,16,0
Control,16,0
Control,16,0
Control,16,0
Control,16,0
Control,16,0
Control,16,0
Control,16,0
Control,16,0
Control,16,0
Control,16,0
Control,16,0
Control,16,0
Control,16,0
Control,16,0
Control,16,0
Control,16,0
Control,16,0
Control,16,0
Control,16,0
Control,16,0
Control,16,0
Control,16,0
Control,16,0
Control,16,0
Control,16,0
Control,16,0
Control,16,0
Control,16,0
Control,16,0
Control,16,0
Control,16,0
Control,16,0
Control,16,0
Control,16,0
Control,16,0
Control,16,0
Control,18,0
Control,18,0
Control,18,0
Control,18,0
Control,18,0
Control,18,0
Control,18,0
Control,18,0
Control,18,0
Control,18,0
Control,18,0
Control,18,0
Control,18,0
Control,18,0
Control,18,0
Control,18,0
Control,18,0
Control,18,0
Control,18,0
Control,18,0
Control,18,0
Control,18,0
Control,18,0
Control,18,0
Control,18,0
Control,18,0
Control,18,0
Control,18,0
Control,18,0
Control,18,0
Control,18,0
Control,18,0
Control,18,0
Control,18,0
Control,18,0
Control,18,0
Control,18,0
Control,18,0
Control,18,0
Control,18,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,20,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,22,0
Control,24,0
Control,24,0
Control,24,0
Control,24,0
Control,24,0
Control,24,0
Control,24,0
Control,24,0
Control,24,0
Control,24,0
Control,24,0
Control,24,0
Control,24,0
Control,24,0
Control,24,0
Control,24,0
Control,24,0
Control,24,0
Control,24,0
Control,24,0
Control,24,0
Control,24,0
Control,24,0
Control,24,0
Control,24,0
Control,24,0
Control,24,0
Control,24,0
Control,24,0
Control,24,0
Control,24,0
Control,24,0
Control,24,0
Control,24,0
Control,24,0
